SMO MOBILITY;SMO;SMO MOBILITY DIV NO ASSIGNED BU;SMOZZZ;2022-10-19T09:10:22.841Z
SIEMENS ENERGY ASSETS;SER;SEA T GOODWILL TRANSMISSION;SERTGO;2022-10-19T09:10:22.841Z
SHS HEALTHINEERS;HSC;SHS DIAGNOSICS CONS;HSCDCO;2022-10-19T09:10:22.841Z
CORPORATE ITEMS;CIE;CORPORATE ITEMS DIV NO ASSIGNED BU;CIEZZZ;2022-10-19T09:10:22.841Z
CORPORATE ITEMS;CIE;MINT;CIT092;2022-10-19T09:10:22.841Z
POC SL;CMP;POC SIEMENS LOGISTICS;CMP019;2022-10-19T09:10:22.841Z
CF FINANCING - TRE SCU;TRE;CF F TREASURY;TRE039;2022-10-19T09:10:22.841Z
CORPORATE DEVELOPMENT OTHER;CDO;NEXT47;CDO100;2022-10-19T09:10:22.841Z
GP G GENERATION;GPG;GP G INP INDUSTRIAL PRODUCTS;SPG055;2022-10-19T09:10:22.841Z
TCF - TRE SCU;ETR;TRE TECHNICAL;ETRTEC;2022-10-19T09:10:22.841Z
CORPORATE ITEMS;CIE;ELECTRICAL INSTALLATION BUSINESS (EIB);CIT075;2022-10-19T09:10:22.841Z
CORPORATE DEVELOPMENT OTHER;CDO;TECHNOLOGY (W/O CENTRAL FUNDS);CDO002;2022-10-19T09:10:22.841Z
SIEMENS ENERGY EQUITY INVESTMENT;SEE;SIEMENS ENERGY EQUITY INVESTMENT DIV NO ASSIGNED BU;SEEZZZ;2022-10-19T09:10:22.841Z
GLOBAL BUSINESS SERVICES;GBS;GBS ENGINEERING;GBS910;2022-10-19T09:10:22.841Z
CORPORATE ITEMS;CIE;OTHER CARVE OUT PROJECTS;CIT083;2022-10-19T09:10:22.841Z
SI SMART INFRASTRUCTURE;SSI;SI TECHNICAL;SSITEC;2022-10-19T09:10:22.841Z
CORPORATE ITEMS;CIE;METALS;CIT182;2022-10-19T09:10:22.841Z
SIEMENS AG REMAINING;EER;SIEMENS AG REMAINING DIV NO ASSIGNED BU;EERZZZ;2022-10-19T09:10:22.841Z
CF FINANCING - TRE SCU;TRE;CF F TFA TRADE FINANCE ADVISORY;TRE038;2022-10-19T09:10:22.841Z
GP G GENERATION;GPG;GP G IGT INDUSTRIAL GAS TURBINES;SPG053;2022-10-19T09:10:22.841Z
TCF, PDI, PCF;GPF;FS CONS SPGFS;SPGFCO;2022-10-19T09:10:22.841Z
GP G GENERATION;GPG;GP G GENERATION DIV NO ASSIGNED BU;GPGZZZ;2022-10-19T09:10:22.841Z
CF FINANCING - TRE SCU;TRE;TRE FLENDER DO;TREFDO;2022-10-19T09:10:22.841Z
GP I INDUSTRIAL APPLICATIONS;GPI;GP I PR PRODUCTS;SPG061;2022-10-19T09:10:22.841Z
CORPORATE ITEMS;CIE;DARWIN;CIT087;2022-10-19T09:10:22.841Z
CF FINANCING - PENSIONS;PEN;PEN ORGANISATION;PEN007;2022-10-19T09:10:22.841Z
CORPORATE ITEMS;CIE;OTHER DO TOPICS;CIT185;2022-10-19T09:10:22.841Z
CORPORATE ITEMS;CIE;ZUKUNFTSFONDS;CIT758;2022-10-19T09:10:22.841Z
GP I INDUSTRIAL APPLICATIONS;GPI;GP I INDUSTRIAL APPLICATIONS DIV NO ASSIGNED BU;GPIZZZ;2022-10-19T09:10:22.841Z
FINANCIAL SERVICES;SFS;SFS EQUITY FINANCE;SFS054;2022-10-19T09:10:22.841Z
CORPORATE ITEMS;CIE;RESERVE 174;CIT174;2022-10-19T09:10:22.841Z
ADVANTA;IOT;ADVANTA DEVELOPMENT;IOT300;2022-10-19T09:10:22.841Z
TCF - TRE SCU;ETR;CF F TFA TRADE FINANCE ADVISORY;ETR038;2022-10-19T09:10:22.841Z
SIEMENS ENERGY ASSETS;SER;SEA T CONS TRANSMISSION;SERTCO;2022-10-19T09:10:22.841Z
SHS HEALTHINEERS;HSC;SHS CI CONS;HSCCCO;2022-10-19T09:10:22.841Z
SHS HEALTHINEERS;HSC;SHS VARIAN GOODWILL;HSCVGO;2022-10-19T09:10:22.841Z
SI SMART INFRASTRUCTURE;SSI;SI EP ELECTRICAL PRODUCTS;SSI047;2022-10-19T09:10:22.841Z
GP I INDUSTRIAL APPLICATIONS;GPI;GP I SO PROCESS SOLUTIONS;SPG062;2022-10-19T09:10:22.841Z
SMO MOBILITY;SMO;SMO CS CUSTOMER SERVICES;SMO050;2022-10-19T09:10:22.841Z
CORPORATE ITEMS;CIE;SIEMENS ENERGY;CIT085;2022-10-19T09:10:22.841Z
SI SMART INFRASTRUCTURE;SSI;SI DS DISTRIBUTION SYSTEMS;SSI040;2022-10-19T09:10:22.841Z
SHS HEALTHINEERS;HSC;SHS ME MEDICAL ELECTRONICS;HSC009;2022-10-19T09:10:22.841Z
SE CF, GP CI;GPC;SPG TECHNICAL;SPGTEC;2022-10-19T09:10:22.841Z
GP G GENERATION;GPG;GP G S SALES;SPG054;2022-10-19T09:10:22.841Z
GLOBAL BUSINESS SERVICES;GBS;GBS OPPORTUNITY-TO-CASH SERVICES;GBS200;2022-10-19T09:10:22.841Z
CORPORATE ITEMS;CIE;SEAS;CIT074;2022-10-19T09:10:22.841Z
SMO MOBILITY;SMO;SMO ENERGY DO;SMOEDO;2022-10-19T09:10:22.841Z
CORPORATE ITEMS;CIE;RESERVE 759;CIT759;2022-10-19T09:10:22.841Z
SMO MOBILITY;SMO;SMO YU INTELLIGENT TRAFFIC SYSTEMS;SMO011;2022-10-19T09:10:22.841Z
